Title	Url	DatasetType	Agency	AgencyContact	AgencyContactEmail	AgencyContactPhone	Description	Format	UpdateFrequency	Cost	CostInformation	SubmissionSource	Licence	LicenceURL	Date listed	Date last updated	DatasetLastUpdated	DatasetCreation	Guid
Anchorage area polygon (Hydro, 1:90k - 1:350k)	https://data.linz.govt.nz/layer/53-anchorage-area-polygon-hydro-190k-1350k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:90,000 to 1:350,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:53		2015-05-19 14:28:27	2012-02-24 23:57:19	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:53
Anchorage area polygons (Hydro, 1:4k - 1:22k)	https://data.linz.govt.nz/layer/635-anchorage-area-polygons-hydro-14k-122k/	dataset	Land Information New Zealand	Land Information New Zealand	customersupport@linz.govt.nz		<p>An area in which vessels anchor or may anchor.<br /></p><p>S-57 Object Class: Anchorage area<br /></p><p>S-57 Acronym: ACHARE<br /></p><p>This data was compiled for the use in the scale range 1:4,000 to 1:22,000.<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT BE USED FOR NAVIGATION.<br /></p><p>This data is based on the S-57 data format used in Electronic Navigational Charts (ENCs) published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ). Refer to the following link for information about S-57 data: <a href="http://www.linz.govt.nz/hydro/regulation/">www.linz.govt.nz/hydro/regulation/</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2011-08-02 17:19:39		2015-05-19 16:20:23	2012-02-25 00:24:34	tag:data.linz.govt.nz,2010-07:feed:data.govt.nz:layer:635
Animal Distribution Maps	http%3A%2F%2Fanimaldistribution.landcareresearch.co.nz%2Fwebforms%2Fmapping.aspx	dataset	Landcare Research	Bruce Warburton	WarburtonB@landcareresearch.co.nz	03 321 9826	Landcare Research's Animal Distribution Maps are an online GIS for viewing the national distribution of 7 species of deer, 5 species of wallaby, thar, chamois, goat and pig, from 1996 to the present.	online database	Other-Unknown	Unknown		Feed	Other licensing (check with source agency)		2011-06-08 17:54:42		2010-12-01 00:00:00		http://geospatial.govt.nz/browse-data-or-resources/dogetrecordbyid/d8b0114c-8148-4cd6-8c13-3424ccdbccd1
Annual Average Nitrogen Dioxide Concentration	https://data.mfe.govt.nz/table/2125-annual-average-nitrogen-dioxide-concentration/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Note: Nitrogen dioxide concentrations are given in micrograms per cubic metre of air, or Âµg/m3. </p><p>Source: Auckland Council, Wellington Regional Council </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:27:56	2014-12-01 14:27:56	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2125
Annual Average PM10 Concentration - Cities	https://data.mfe.govt.nz/table/2133-annual-average-pm10-concentration-cities/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Greater than 100,000 people. </p><p>Average is population weighted average of monitoring sites in cities. </p><p>Note: PM10 concentrations are given in micrograms per cubic metre of air, or Âµg/m3. </p><p>Source: Regional councils of Waikato, Wellington, Canterbury, Otago; Auckland Council </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 16:21:39	2014-12-01 14:27:59	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2133
Annual Average PM10 Concentration - Medium Sized Towns	https://data.mfe.govt.nz/table/2134-annual-average-pm10-concentration-medium-sized-towns/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Between 25,000 and 60,000 people. </p><p>Average is population weighted average of monitoring sites in medium-sized towns.</p><p>Source: Regional councils of Northland, Bay of Plenty, Hawke's Bay, Manawatu-Wanganui, Wellington, Canterbury, Southland; </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 16:11:46	2014-12-01 14:28:00	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2134
Annual Average PM10 Concentration - NI Rural	https://data.mfe.govt.nz/table/2136-annual-average-pm10-concentration-ni-rural/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Rural areas as defined by Statistics New Zealand. </p><p>Average is unweighted average across North Island rural areas.</p><p>Note: There is no rural monitoring in the South Island. PM10 concentrations are given in micrograms per cubic metre of air, </p><p>Source: Regional councils of Bay of Plenty, Waikato; Auckland Council</p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:28:01	2014-12-01 14:28:01	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2136
Annual Average PM10 Concentration - Selected Urban Centres	https://data.mfe.govt.nz/table/2137-annual-average-pm10-concentration-selected-urban-centres/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Note: PM10 concentrations are given in micrograms per cubic metre of air, or Âµg/m3. </p><p>Source: Regional councils of Waikato, Wellington, Canterbury, Otago; Auckland Council </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:28:01	2014-12-01 14:28:01	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2137
Annual Average PM10 Concentration - Small Towns	https://data.mfe.govt.nz/table/2135-annual-average-pm10-concentration-small-towns/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Less than 25,000 people. </p><p>Average is population weighted average of monitoring sites in small towns. </p><p>Note: PM10 concentrations are given in micrograms per cubic metre of air, or Âµg/m3. </p><p>Source: Regional councils of Northland, Waikato, Manawatu-Wanganui, Wellington, West Coast, Canterbury, Otago, Southland; </p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2015-03-31 18:24:26	2014-12-01 14:28:00	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2135
Annual Average PM10 Concentration in Air	https://data.mfe.govt.nz/table/2124-annual-average-pm10-concentration-in-air/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>PM10 concentrations are given in micrograms per cubic.</p><p>Source:<br />Regional councils of Northland, Bay of Plenty, Waikato, Hawke's Bay,<br />Manawatu-Wanganui, Wellington, Canterbury, West Coast, Otago, Southland;<br />District councils of Marlborough and Tasman; City Council of Nelson; Auckland Council</p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:27:56	2014-12-01 14:27:56	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2124
Annual Average PM10 Concentration in Urban Areas OECD Countries	https://data.mfe.govt.nz/table/2132-annual-average-pm10-concentration-in-urban-areas-oecd-countries/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>OECD countries, 2011</p><p>PM10 concentrations are given in micrograms per cubic metre of air, or Âµg/m3.</p><p>Source: World Health Organization</p><p>Note that data for Israel and Australia are for 2008<br />Note that data for Japan and Denmark are for 2010<br />Note that data for New Zealand and Canada are for 2012</p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:27:58	2014-12-01 14:27:58	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2132
Annual Average PM2.5 Concentration	https://data.mfe.govt.nz/table/2139-annual-average-pm25-concentration/	dataset	Ministry for the Environment (MfE)	Ministry for the Environment	customersupport@mfe.govt.nz		<p>Note: PM2.5 concentrations are given in micrograms per cubic metre of air, or Âµg/m3. </p><p>Source: Regional councils of Wellington, Canterbury; Auckland Council</p>	csv,other geo,api	Other-Unknown	No		Feed	Creative Commons Attribution 3.0 New Zealand licence		2015-04-23 13:52:29		2014-12-01 14:28:01	2014-12-01 14:28:01	tag:data.mfe.govt.nz,2010-07:feed:data.govt.nz:layer:2139
Annual Enterprise Survey	http://www.stats.govt.nz/browse_for_stats/businesses/business_finance/annual-enterprise-survey-info-releases.aspx	dataset	Statistics New Zealand		info@stats.govt.nz	0508 525 525	The Annual Enterprise Survey provides statistics on the financial performance and financial position of New Zealand businesses, covering most areas of economic activity.	CSV,Spreadsheet,HTML,PDF	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2013-12-06 13:41:12	2015-05-22 00:00:00	2014-08-29 00:00:00		
Annual Enterprise Survey	http://www.stats.govt.nz/browse_for_stats/businesses/business_finance/annual-enterprise-survey-info-releases.aspx	dataset	Statistics New Zealand	Statistics New Zealand Information Centre	info@stats.govt.nz	0508 525 525	These releases provide statistics on the financial performance and financial position of New Zealand businesses, covering most areas of economic activity.	Spreadsheet,HTML,PDF	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2012-03-22 15:45:37	2015-05-22 00:00:00	2015-08-29 00:00:00		
Annual Forecast of Passport Issuance Volumes for 2013/2014 Financial Year	http://www.dia.govt.nz/Resource-material-Information-We-Provide-Annual-Forecast-of-Passport-Issuance-Volumes	dataset	Department of Internal Affairs		info@dia.govt.nz	(04) 4957200	The forecast shows anticipated Passport issuance volumes for the Financial year 2013/2014. The data is prepared by a highly recognised statistician based on historic observed customer behaviour and population statistics. There are limitations in forecasting of extraordinary events which may alter customer behaviour, obviously unable to be forecast in advance.  Any external business that may make decisions based on the data will need to be aware the data is subject to customer changes in behaviour.	CSV,Spreadsheet	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2013-11-12 13:00:09	2014-07-24 20:14:00	2014-07-24 20:14:00	2013-10-31 00:00:00	
Annual Forestry Employment Statistics	http://www.mpi.govt.nz/news-and-resources/statistics-and-forecasting/forestry/	Dataset	Ministry for Primary Industries		stats_info@mpi.govt.nz		Forestry industry employment, by activity (5 year series) and Wood Supply Region (2004 and 2009).	Spreadsheet	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2009-11-17 14:18:25	2014-09-24 00:00:00	2014-09-24 00:00:00	2008-09-24 00:00:00	
Annual Forestry Export Statistics	http://www.mpi.govt.nz/news-and-resources/statistics-and-forecasting/forestry/	Dataset	Ministry for Primary Industries				Annual forestry export statistics covering the volume and value of logs and wood chips, sawn timber and sleepers, wood pulp, paper and paperboard, panel products and other forestry products exported from New Zealand. Exports by product and country of destination.	Spreadsheet	Other-Unknown	No		Manual	Other licensing (check with source agency)		2009-10-29 16:07:33		2014-12-15 09:53:32		
Annual Update of Key Results 2013/14: New Zealand Health Survey	https://www.health.govt.nz/publication/annual-update-key-results-2013-14-new-zealand-health-survey	dataset	Ministry of Health	Health and Disability Intelligence	hdi@moh.govt.nz	0800 855 066	This report provides a snapshot of the health of New Zealanders through the publication of 48 key indicators on health behaviours, health status and access to health care for both adults and children.This report presents the 2013/14 results from the continuous New Zealand Health Survey, with comparisons to the 2012/13 and 2006/07 surveys.	Spreadsheet,PDF	Annually	No		Manual	Creative Commons Attribution 4.0 International		2015-08-18 15:29:57		2014-12-11 00:00:00	2014-12-11 00:00:00	
Annual change in the percentage contribution of transport and storage industry to national Gross Domestic Product	http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft003/	dataset	Ministry of Transport		transport.indicators@transport.govt.nz		The percentage change each year to transport's contribution to GDP	CSV,HTML	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2014-03-24 14:07:41	2014-03-24 00:00:00	2014-03-24 00:00:00		http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft003/
Annual container handling statistics	http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft021/	dataset	Ministry of Transport		transport.indicators@transport.govt.nz		Number of containers moved by port, containers moved per crane hour, containers moved per ship hour, containers moved per labour hour	CSV,HTML	Annually	No		Manual	Other licensing (check with source agency)		2014-03-24 14:27:30	2014-03-24 00:00:00	2014-03-24 00:00:00		http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft021/
Annual expenditure per student	http://www.educationcounts.govt.nz/indicators/main/resource/2043	Dataset	Ministry of Education				Annual expenditure on primary and secondary educational institutions per student, relative to other OECD nations.	Spreadsheet	Other-Unknown	No		Manual	Other licensing (check with source agency)		2010-03-23 17:59:11	2010-03-23 00:00:00	2011-06-03 09:11:36		
Annual export destination	http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft023/	dataset	Ministry of Transport		transport.indicators@transport.govt.nz		Value and volume of exports to selected overseas destinations by sea and air	CSV,HTML	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2014-03-24 14:58:58	2014-03-24 00:00:00	2014-03-24 00:00:00		http://www.transport.govt.nz/ourwork/tmif/freighttransportindustry/ft023/
Annual figures for new estates since 1988	http://www.insolvency.govt.nz/cms/site-tools/about-us/statistics/annual-figures-for-new-estates-since-1988/	dataset	Ministry of Business Innovation and Employment				Annual totals of Bankruptcies, Liquidations, Summary Instalment Orders and No Asset Procedures since 1988.	html table	Other-Unknown	No		Feed	Creative Commons Attribution 3 0 New Zealand licence		2009-11-09 08:52:32	2014-10-28 00:00:00	2014-10-28 00:00:00	2009-07-07 00:00:00	http://www.insolvency.govt.nz/cms/site-tools/about-us/statistics/annual-figures-for-new-estates-since-1988/
Annual flight hours	http://www.transport.govt.nz/ourwork/tmif/transport-volume/tv038/	dataset	Ministry of Transport		transport.indicators@transport.govt.nz		The annual number of hours flown by aircraft type	CSV,HTML	Annually	No		Manual	Other licensing (check with source agency)		2014-03-24 12:52:05	2014-03-24 00:00:00	2014-03-24 00:00:00		http://www.transport.govt.nz/ourwork/tmif/transport-volume/tv038/
Annual report of Statistics New Zealand: financial tables	www.stats.govt.nz/about_us/our-publications/annual-reports.aspx	dataset	Statistics New Zealand	Information Centre	info@stats.govt.nz	0508 525 525	The following tables from the Annual report: Statement of service performance: Revenue and output expenses, output class 1Statement of service performance:  Revenue and output expenses, output class 2Statement of service performance:  Revenue and output expenses, output class 3Statement of service performance: 2013 Census, multi-year appropriationStatement of comprehensive incomeStatement of financial positionStatement of changes in taxpayers' fundsStatement of cash flowsStatement of commitmentsStatement of contingent liabilities and contingent assetsStatement of departmental expenses and capital expenditure against appropriationsStatement of departmental unappropriated expenditure and capital expenditureReconciliation of multi-year appropriations	Spreadsheet,HTML,PDF,Other	Annually	No		Manual	Creative Commons Attribution 3.0 New Zealand licence		2013-11-26 10:37:01	2014-06-17 00:00:00	2014-10-20 00:00:00	2012-09-18 00:00:00	
